asset,model,regime,n_days,mean_ret_%,vol_ann_%,worst_day_%,exceptions,breach_rate_%,expected_%,kupiec_p
QQQ,garch_normal,1. Pre-COVID calm,790,0.08852767432585049,17.164496335203303,-4.684712568411955,42,5.3164556962025316,5.000000000000004,0.6861103181034923
QQQ,garch_normal,2. COVID shock (2020),220,0.13012109071529118,38.07606130821459,-12.759235670684784,19,8.636363636363637,5.000000000000004,0.024219225100027164
QQQ,garch_normal,3. 2021 low-vol bull,252,0.09615720424650373,18.23062744165302,-3.5484650333672825,14,5.555555555555555,5.000000000000004,0.6907287550167569
QQQ,garch_normal,4. 2022 rates bear,251,-0.15704532922055847,32.17834483339167,-5.63976537499962,20,7.968127490039841,5.000000000000004,0.046161517602920976
QQQ,garch_normal,5. 2023-25 recovery,751,0.11479631873893041,19.905499062339683,-6.4121422620669115,43,5.725699067909454,5.000000000000004,0.3719804223361549
QQQ,garch_t,1. Pre-COVID calm,790,0.08852767432585049,17.164496335203303,-4.684712568411955,45,5.69620253164557,5.000000000000004,0.3793001654602439
QQQ,garch_t,2. COVID shock (2020),220,0.13012109071529118,38.07606130821459,-12.759235670684784,19,8.636363636363637,5.000000000000004,0.024219225100027164
QQQ,garch_t,3. 2021 low-vol bull,252,0.09615720424650373,18.23062744165302,-3.5484650333672825,14,5.555555555555555,5.000000000000004,0.6907287550167569
QQQ,garch_t,4. 2022 rates bear,251,-0.15704532922055847,32.17834483339167,-5.63976537499962,20,7.968127490039841,5.000000000000004,0.046161517602920976
QQQ,garch_t,5. 2023-25 recovery,751,0.11479631873893041,19.905499062339683,-6.4121422620669115,44,5.858854860186418,5.000000000000004,0.29253481401788095
TLT,normal_rolling,1. Pre-COVID calm,790,0.036609826134817336,10.449266527222049,-2.1590400830792515,42,5.3164556962025316,5.000000000000004,0.6861103181034923
TLT,normal_rolling,2. COVID shock (2020),220,0.042538860966668104,22.58188369800947,-6.901098173152502,5,2.272727272727273,5.000000000000004,0.0384263377927061
TLT,normal_rolling,3. 2021 low-vol bull,252,-0.01868349054942978,13.848839601255827,-2.2856147085386214,10,3.968253968253968,5.000000000000004,0.43633527975517183
TLT,normal_rolling,4. 2022 rates bear,251,-0.14919070948996677,20.35467651367983,-3.478050860694254,23,9.163346613545817,5.000000000000004,0.006413136597598124
TLT,normal_rolling,5. 2023-25 recovery,751,-0.0009402985239201388,15.08215065102605,-3.0620108416917384,25,3.3288948069241013,5.000000000000004,0.02564789857024785
TLT,ewma,1. Pre-COVID calm,790,0.036609826134817336,10.449266527222049,-2.1590400830792515,41,5.189873417721519,5.000000000000004,0.8076783373337241
TLT,ewma,2. COVID shock (2020),220,0.042538860966668104,22.58188369800947,-6.901098173152502,12,5.454545454545454,5.000000000000004,0.7603157337041674
TLT,ewma,3. 2021 low-vol bull,252,-0.01868349054942978,13.848839601255827,-2.2856147085386214,12,4.761904761904762,5.000000000000004,0.8612738247748142
TLT,ewma,4. 2022 rates bear,251,-0.14919070948996677,20.35467651367983,-3.478050860694254,18,7.171314741035857,5.000000000000004,0.13721076760375106
TLT,ewma,5. 2023-25 recovery,751,-0.0009402985239201388,15.08215065102605,-3.0620108416917384,42,5.59254327563249,5.000000000000004,0.4643045014590854
TLT,historical,1. Pre-COVID calm,790,0.036609826134817336,10.449266527222049,-2.1590400830792515,46,5.822784810126582,5.000000000000004,0.30053793784143723
TLT,historical,2. COVID shock (2020),220,0.042538860966668104,22.58188369800947,-6.901098173152502,12,5.454545454545454,5.000000000000004,0.7603157337041674
TLT,historical,3. 2021 low-vol bull,252,-0.01868349054942978,13.848839601255827,-2.2856147085386214,12,4.761904761904762,5.000000000000004,0.8612738247748142
TLT,historical,4. 2022 rates bear,251,-0.14919070948996677,20.35467651367983,-3.478050860694254,25,9.9601593625498,5.000000000000004,0.0013896968134045062
TLT,historical,5. 2023-25 recovery,751,-0.0009402985239201388,15.08215065102605,-3.0620108416917384,27,3.5952063914780292,5.000000000000004,0.06347909739852431
TLT,garch_normal,1. Pre-COVID calm,790,0.036609826134817336,10.449266527222049,-2.1590400830792515,41,5.189873417721519,5.000000000000004,0.8076783373337241
TLT,garch_normal,2. COVID shock (2020),220,0.042538860966668104,22.58188369800947,-6.901098173152502,15,6.8181818181818175,5.000000000000004,0.2398124696510443
TLT,garch_normal,3. 2021 low-vol bull,252,-0.01868349054942978,13.848839601255827,-2.2856147085386214,11,4.365079365079365,5.000000000000004,0.6367364999456029
TLT,garch_normal,4. 2022 rates bear,251,-0.14919070948996677,20.35467651367983,-3.478050860694254,21,8.366533864541832,5.000000000000004,0.024987966212674406
TLT,garch_normal,5. 2023-25 recovery,751,-0.0009402985239201388,15.08215065102605,-3.0620108416917384,31,4.1278295605858855,5.000000000000004,0.25875460754622825
TLT,garch_t,1. Pre-COVID calm,790,0.036609826134817336,10.449266527222049,-2.1590400830792515,44,5.5696202531645564,5.000000000000004,0.4703026697928343
TLT,garch_t,2. COVID shock (2020),220,0.042538860966668104,22.58188369800947,-6.901098173152502,16,7.2727272727272725,5.000000000000004,0.14626541108493207
TLT,garch_t,3. 2021 low-vol bull,252,-0.01868349054942978,13.848839601255827,-2.2856147085386214,11,4.365079365079365,5.000000000000004,0.6367364999456029
TLT,garch_t,4. 2022 rates bear,251,-0.14919070948996677,20.35467651367983,-3.478050860694254,21,8.366533864541832,5.000000000000004,0.024987966212674406
TLT,garch_t,5. 2023-25 recovery,751,-0.0009402985239201388,15.08215065102605,-3.0620108416917384,32,4.26098535286285,5.000000000000004,0.34089460950840456
GLD,normal_rolling,1. Pre-COVID calm,790,0.04242974042656608,10.45254202250478,-2.429383958928248,37,4.6835443037974684,5.000000000000004,0.6801168161986433
GLD,normal_rolling,2. COVID shock (2020),220,0.07332092762446207,20.603793025337914,-5.5189726718979415,18,8.181818181818182,5.000000000000004,0.046420618980822614
GLD,normal_rolling,3. 2021 low-vol bull,252,-0.01681521146779261,13.722614073477041,-3.480879472366203,11,4.365079365079365,5.000000000000004,0.6367364999456029
GLD,normal_rolling,4. 2022 rates bear,251,-0.0030880913442195646,15.270033866630426,-3.016149526620599,19,7.569721115537849,5.000000000000004,0.08146841556836237
GLD,normal_rolling,5. 2023-25 recovery,751,0.113849159170716,16.348423072930014,-6.642712220281701,34,4.527296937416778,5.000000000000004,0.5460942234038121
GLD,ewma,1. Pre-COVID calm,790,0.04242974042656608,10.45254202250478,-2.429383958928248,37,4.6835443037974684,5.000000000000004,0.6801168161986433
GLD,ewma,2. COVID shock (2020),220,0.07332092762446207,20.603793025337914,-5.5189726718979415,14,6.363636363636363,5.000000000000004,0.3723498748991151
GLD,ewma,3. 2021 low-vol bull,252,-0.01681521146779261,13.722614073477041,-3.480879472366203,15,5.952380952380952,5.000000000000004,0.500091344598811
GLD,ewma,4. 2022 rates bear,251,-0.0030880913442195646,15.270033866630426,-3.016149526620599,16,6.374501992031872,5.000000000000004,0.3369670418603814
GLD,ewma,5. 2023-25 recovery,751,0.113849159170716,16.348423072930014,-6.642712220281701,33,4.394141145139813,5.000000000000004,0.4370513266768633
GLD,historical,1. Pre-COVID calm,790,0.04242974042656608,10.45254202250478,-2.429383958928248,37,4.6835443037974684,5.000000000000004,0.6801168161986433
GLD,historical,2. COVID shock (2020),220,0.07332092762446207,20.603793025337914,-5.5189726718979415,18,8.181818181818182,5.000000000000004,0.046420618980822614
GLD,historical,3. 2021 low-vol bull,252,-0.01681521146779261,13.722614073477041,-3.480879472366203,10,3.968253968253968,5.000000000000004,0.43633527975517183
GLD,historical,4. 2022 rates bear,251,-0.0030880913442195646,15.270033866630426,-3.016149526620599,13,5.179282868525896,5.000000000000004,0.8968841293151497
GLD,historical,5. 2023-25 recovery,751,0.113849159170716,16.348423072930014,-6.642712220281701,44,5.858854860186418,5.000000000000004,0.29253481401788095
GLD,garch_normal,1. Pre-COVID calm,790,0.04242974042656608,10.45254202250478,-2.429383958928248,36,4.556962025316456,5.000000000000004,0.5621400753046043
GLD,garch_normal,2. COVID shock (2020),220,0.07332092762446207,20.603793025337914,-5.5189726718979415,18,8.181818181818182,5.000000000000004,0.046420618980822614
GLD,garch_normal,3. 2021 low-vol bull,252,-0.01681521146779261,13.722614073477041,-3.480879472366203,14,5.555555555555555,5.000000000000004,0.6907287550167569
GLD,garch_normal,4. 2022 rates bear,251,-0.0030880913442195646,15.270033866630426,-3.016149526620599,14,5.577689243027888,5.000000000000004,0.6798791693934747
GLD,garch_normal,5. 2023-25 recovery,751,0.113849159170716,16.348423072930014,-6.642712220281701,32,4.26098535286285,5.000000000000004,0.34089460950840456
GLD,garch_t,1. Pre-COVID calm,790,0.04242974042656608,10.45254202250478,-2.429383958928248,36,4.556962025316456,5.000000000000004,0.5621400753046043
GLD,garch_t,2. COVID shock (2020),220,0.07332092762446207,20.603793025337914,-5.5189726718979415,18,8.181818181818182,5.000000000000004,0.046420618980822614
GLD,garch_t,3. 2021 low-vol bull,252,-0.01681521146779261,13.722614073477041,-3.480879472366203,15,5.952380952380952,5.000000000000004,0.500091344598811
GLD,garch_t,4. 2022 rates bear,251,-0.0030880913442195646,15.270033866630426,-3.016149526620599,19,7.569721115537849,5.000000000000004,0.08146841556836237
GLD,garch_t,5. 2023-25 recovery,751,0.113849159170716,16.348423072930014,-6.642712220281701,32,4.26098535286285,5.000000000000004,0.34089460950840456
EW,normal_rolling,1. Pre-COVID calm,790,0.05864913686931891,7.526061756451287,-2.001774938989606,35,4.430379746835443,5.000000000000004,0.4541613374498238
EW,normal_rolling,2. COVID shock (2020),220,0.08623065681288138,18.511032674802454,-5.68507564743161,17,7.727272727272727,5.000000000000004,0.08457394442728228
EW,normal_rolling,3. 2021 low-vol bull,252,0.04272330523203211,9.710282391556868,-2.3807482424653448,5,1.984126984126984,5.000000000000004,0.012802724254847742
EW,normal_rolling,4. 2022 rates bear,251,-0.09159363100122563,16.71410019401086,-3.6211703657464795,30,11.952191235059761,5.000000000000004,1.531467211923765e-05
EW,normal_rolling,5. 2023-25 recovery,751,0.08088020826330725,11.105226906612264,-3.3855889792132463,23,3.062583222370173,5.000000000000004,0.00888154760044757
EW,ewma,1. Pre-COVID calm,790,0.05864913686931891,7.526061756451287,-2.001774938989606,30,3.79746835443038,5.000000000000004,0.10595423208992516
EW,ewma,2. COVID shock (2020),220,0.08623065681288138,18.511032674802454,-5.68507564743161,16,7.2727272727272725,5.000000000000004,0.14626541108493207
EW,ewma,3. 2021 low-vol bull,252,0.04272330523203211,9.710282391556868,-2.3807482424653448,13,5.158730158730158,5.000000000000004,0.9084112138393736
EW,ewma,4. 2022 rates bear,251,-0.09159363100122563,16.71410019401086,-3.6211703657464795,17,6.772908366533864,5.000000000000004,0.22031484196674922
EW,ewma,5. 2023-25 recovery,751,0.08088020826330725,11.105226906612264,-3.3855889792132463,32,4.26098535286285,5.000000000000004,0.34089460950840456
EW,historical,1. Pre-COVID calm,790,0.05864913686931891,7.526061756451287,-2.001774938989606,38,4.810126582278481,5.000000000000004,0.805403833519698
EW,historical,2. COVID shock (2020),220,0.08623065681288138,18.511032674802454,-5.68507564743161,21,9.545454545454547,5.000000000000004,0.00569416096901576
EW,historical,3. 2021 low-vol bull,252,0.04272330523203211,9.710282391556868,-2.3807482424653448,5,1.984126984126984,5.000000000000004,0.012802724254847742
EW,historical,4. 2022 rates bear,251,-0.09159363100122563,16.71410019401086,-3.6211703657464795,24,9.56175298804781,5.000000000000004,0.0030474808679150645
EW,historical,5. 2023-25 recovery,751,0.08088020826330725,11.105226906612264,-3.3855889792132463,31,4.1278295605858855,5.000000000000004,0.25875460754622825
EW,garch_normal,1. Pre-COVID calm,790,0.05864913686931891,7.526061756451287,-2.001774938989606,31,3.9240506329113924,5.000000000000004,0.14997817933416424
EW,garch_normal,2. COVID shock (2020),220,0.08623065681288138,18.511032674802454,-5.68507564743161,12,5.454545454545454,5.000000000000004,0.7603157337041674
EW,garch_normal,3. 2021 low-vol bull,252,0.04272330523203211,9.710282391556868,-2.3807482424653448,13,5.158730158730158,5.000000000000004,0.9084112138393736
EW,garch_normal,4. 2022 rates bear,251,-0.09159363100122563,16.71410019401086,-3.6211703657464795,20,7.968127490039841,5.000000000000004,0.046161517602920976
EW,garch_normal,5. 2023-25 recovery,751,0.08088020826330725,11.105226906612264,-3.3855889792132463,32,4.26098535286285,5.000000000000004,0.34089460950840456
EW,garch_t,1. Pre-COVID calm,790,0.05864913686931891,7.526061756451287,-2.001774938989606,33,4.177215189873418,5.000000000000004,0.27537218417557974
EW,garch_t,2. COVID shock (2020),220,0.08623065681288138,18.511032674802454,-5.68507564743161,13,5.909090909090909,5.000000000000004,0.5470623143879155
EW,garch_t,3. 2021 low-vol bull,252,0.04272330523203211,9.710282391556868,-2.3807482424653448,15,5.952380952380952,5.000000000000004,0.500091344598811
EW,garch_t,4. 2022 rates bear,251,-0.09159363100122563,16.71410019401086,-3.6211703657464795,20,7.968127490039841,5.000000000000004,0.046161517602920976
EW,garch_t,5. 2023-25 recovery,751,0.08088020826330725,11.105226906612264,-3.3855889792132463,31,4.1278295605858855,5.000000000000004,0.25875460754622825
