Date,SPY,QQQ,TLT,GLD
2023-05-18,402.39093017578125,331.0279235839844,89.38135528564453,181.83999633789062
2023-05-19,401.8053894042969,330.28204345703125,88.74932861328125,183.63999938964844
2023-05-22,401.9685974121094,331.39117431640625,88.43329620361328,183.2100067138672
2023-05-23,397.45733642578125,327.1903381347656,88.6878662109375,183.42999267578125
2023-05-24,394.577880859375,325.51202392578125,88.24896240234375,181.9499969482422
2023-05-25,397.99481201171875,333.43267822265625,88.02948760986328,180.1999969482422
2023-05-26,403.1491394042969,341.95196533203125,88.74055480957031,180.9199981689453
2023-05-30,403.3027038574219,343.5027770996094,89.62715148925781,182.0399932861328
2023-05-31,401.06634521484375,341.549560546875,90.40841674804688,182.32000732421875
2023-06-01,404.8768615722656,345.49517822265625,90.7631607055664,183.75999450683594
2023-06-02,410.7318115234375,348.0863952636719,89.76853942871094,181.0500030517578
2023-06-05,409.9447326660156,348.3316955566406,89.60132598876953,182.13999938964844
2023-06-06,410.83740234375,348.2727966308594,90.12943267822266,182.33999633789062
2023-06-07,409.4168395996094,342.36419677734375,88.79154968261719,180.14999389648438
2023-06-08,411.89324951171875,346.6140441894531,89.83016967773438,182.52999877929688
2023-06-09,412.63226318359375,347.9390869140625,89.70693969726562,182.0399932861328
2023-06-12,416.3756408691406,353.8182373046875,89.97099304199219,181.8800048828125
2023-06-13,419.1207580566406,356.5369567871094,89.08203887939453,180.5399932861328
2023-06-14,419.6199035644531,359.12811279296875,89.79496002197266,180.63999938964844
2023-06-15,424.8221740722656,363.40740966796875,90.65752410888672,181.91000366210938
2023-06-16,423.37518310546875,361.12060546875,90.30545043945312,181.6300048828125
2023-06-20,421.1786193847656,360.6036071777344,90.93038177490234,179.75
2023-06-21,419.0205993652344,355.6893310546875,91.1504135131836,179.49000549316406
2023-06-22,420.53314208984375,359.8861083984375,90.05020904541016,177.7100067138672
2023-06-23,417.3539123535156,356.3183898925781,90.94798278808594,178.1999969482422
2023-06-26,415.6487121582031,351.54180908203125,91.04479217529297,178.50999450683594
2023-06-27,420.2055358886719,357.5862121582031,90.80716705322266,177.69000244140625
2023-06-28,420.4175109863281,358.2840881347656,91.19441986083984,177.27999877929688
2023-06-29,422.0745849609375,357.5665283203125,89.54851531982422,177.08999633789062
2023-06-30,427.05535888671875,363.0804138183594,90.604736328125,178.27000427246094
2023-07-03,427.5466613769531,363.93536376953125,90.09104919433594,178.47000122070312
2023-07-05,426.91082763671875,363.9256286621094,89.23499298095703,177.83999633789062
2023-07-06,423.5678405761719,361.1539306640625,87.97295379638672,177.30999755859375
2023-07-07,422.4984130859375,359.9549255371094,87.44340515136719,178.63999938964844
2023-07-10,423.5678405761719,360.0728454589844,87.55811309814453,178.77999877929688
2023-07-11,426.2653503417969,361.851806640625,88.00825500488281,179.4499969482422
2023-07-12,429.6949768066406,366.4219970703125,88.98787689208984,181.8800048828125
2023-07-13,433.10546875,372.6434020996094,89.9233627319336,182.00999450683594
2023-07-14,432.8357238769531,372.5647277832031,89.39383697509766,181.42999267578125
2023-07-17,434.338623046875,376.0439453125,89.43798065185547,181.55999755859375
2023-07-18,437.5660095214844,379.1202697753906,89.84396362304688,183.63999938964844
2023-07-19,438.5390625,379.03179931640625,90.85887908935547,183.6699981689453
